State,Current,Ever,Passed,Color,URL,State Name,2025 Bill Number,Nathan's Text,Covered Products,Legislation Prior to 2023,2023 Blue Text,Abbreviation,Scope,Signed Date,Effective Date,Applicable Date,Violation Penalty
Alabama,,1,,Historical,https://alabama.repair.org,Alabama,,,"However, in 2023, Alabama is not considering any Right to Repair bills.",Alabama has considered Right to Repair legislation in the past.,"This year, the people of Alabama have a chance to guarantee their right to repair their stuff—like cell phones, laptops, and even tractors. These are your products. You own them, and you shouldn’t have to rely on the manufacturer’s permission to fix them when they break. Take action today: call or write your legislator and demand the right to repair. We’ll help by providing your legislators’ contact information.",,,,,,
Alaska,,1,,Historical,https://alaska.repair.org,Alaska,,SB 112 - covers everything but cars.,"In 2023, Alaska is considering a Right to Repair bill that covers all electronics but cars:",,"This year, the people of Alaska have a chance to guarantee their right to repair their stuff—like cell phones, laptops, and even tractors. These are your products. You own them, and you shouldn’t have to rely on the manufacturer’s permission to fix them when they break. Take action today: call or write your legislator and demand the right to repair. We’ll help by providing your legislators’ contact information.",,,,,,
Arizona,,1,,Historical,https://arizona.repair.org,Arizona,,,"In 2023, Arizona is not considering any Right to Repair bills.",,"This year, the people of Arizona have a chance to guarantee their right to repair their stuff—like cell phones, laptops, and even tractors. These are your products. You own them, and you shouldn’t have to rely on the manufacturer’s permission to fix them when they break. Take action today: call or write your legislator and demand the right to repair. We’ll help by providing your legislators’ contact information.",,,,,,
Arkansas,,1,,Historical,https://arkansas.repair.org,Arkansas,,,"However, in 2023, Arkansas is not considering any Right to Repair bills.",Arkansas has considered Right to Repair legislation in the past.,"This year, the people of Arkansas have a chance to guarantee their right to repair their stuff—like cell phones, laptops, and even tractors. These are your products. You own them, and you shouldn’t have to rely on the manufacturer’s permission to fix them when they break. Take action today: call or write your legislator and demand the right to repair. We’ll help by providing your legislators’ contact information.",,,,,,
California,,1,1,Passed,https://www.repair.org/california,California,SB 244,,,,"In 2023, the people of California passed  Right to Repair for . The law applies to devices manufactured or first sold in the state as of July 1, 2021. Notably, the California law excludes video game consoles and alarm systems. We're pushing strong for California to expand their right to repair to cover these devices. It’s yours. You own it. You shouldn’t have to beg the manufacturer for permission to fix it when it breaks. Tell your legislator that you want the right to repair. There are two easy ways to get in touch: call and write. We’ll track down your legislator’s contact info for you.",CA,,"October 10, 2023",7/1/2024,7/1/2021,"$1,000 per day for the first violation
$2,000 per day for the second violation
$5,000 per day for the third and subsequent violations."
Colorado,,1,1,Passed,https://colorado.repair.org,Colorado,H.B. 1011,HB1011 - covers farm equipment and has been signed into law.,"In 2023, Colorado also passed a Right to Repair bill that covers farm equipment—the first-ever legislation to protect farmers' right to fix their own tractors!","In 2022, Colorado passed the first Right to Repair law in about a decade: The law protects powered wheelchair users' right to fix their own chairs or take them to a shop of their choice. Already, wheelchair users have been using the law to push manufacturers to provide the spare parts and documentation necessary for keeping chairs running.","In 2022, the people of Colorado passed  Right to Repair for Powered Wheelchairs, and they expanded that right to include Farm Equipment in 2023. The law applies to devices manufactured or first sold in the state as of January 1, 2023 for Wheelchairs and January 1, 2024 for Farm Equipment. Notably, the Colorado law excludes Digital Electronic Equipment. We're pushing strong for Colorado to expand their right to repair to cover these devices. It’s yours. You own it. You shouldn’t have to beg the manufacturer for permission to fix it when it breaks. Tell your legislator that you want to epxand the right to repair. There are two easy ways to get in touch: call and write. We’ll track down your legislator’s contact info for you.",CO,,"June 2, 2022 (Wheelchairs) / April 25, 2023 (Agriculture)","1/1/2024 (Farm Equipment)
1/1/2023 (Powered Wheelchairs)","1/1/2024 (Farm Equipment)
1/1/2023 (Powered Wheelchairs)","$20,000 per violation"
Connecticut,1,1,,Current,https://connecticut.repair.org,Connecticut,HB6053,"HB 5755 / HB 6083 - which cover powered wheelchairs, and of which 6083 has pass its first committee, and H.B. 6512 which covers consumer electronics.","In 2023, Connecticut is considering Right to Repair bills that cover powered wheelchairs and consumer electronics:",,"This year, the people of Connecticut have a chance to guarantee their right to repair their stuff—like virtually anything with a computer chip—like smartphones, laptops, and household appliances. These are your products. You own them, and you shouldn’t have to rely on the manufacturer’s permission to fix them when they break. Take action today: call or write your legislator and demand the right to repair. We’ll help by providing your legislators’ contact information.",,Digital Electronic Equipment,,N/A,,
Delaware,,1,,Historical,https://delaware.repair.org,Delaware,,"HB41 - covers everything except cars, has cleared committee.","In 2023, Delaware is considering a Right to Repair bill that covers all electronics but cars:",,"This year, the people of Delaware have a chance to guarantee their right to repair their stuff—like cell phones, laptops, and even tractors. These are your products. You own them, and you shouldn’t have to rely on the manufacturer’s permission to fix them when they break. Take action today: call or write your legislator and demand the right to repair. We’ll help by providing your legislators’ contact information.",,,,,,
Florida,1,1,,Current,https://florida.repair.org,Florida,"H0235, H0311, SB 412","HB 533 / SB 422 - which cover farm equipment, of which the Senate bill passed through committee. Session ended.","In 2023, Florida is considering Right to Repair bills that cover farm equipment:",,"This year, the people of Florida have a chance to guarantee their right to repair their stuff—like cell phones, laptops, and even tractors. These are your products. You own them, and you shouldn’t have to rely on the manufacturer’s permission to fix them when they break. Take action today: call or write your legislator and demand the right to repair. We’ll help by providing your legislators’ contact information.",,"Portable Wireless Device, Powered Wheelchairs",,7/1/2025,7/1/2025,A violation of this part is a deceptive and unfair trade practice under the Florida Deceptive and Unfair Trade Practices Act.
Georgia,,1,,Historical,https://georgia.repair.org,Georgia,,SB 243 - covers all products. Session ended.,"In 2023, Georgia is considering a Right to Repair bill that covers all electronics:",,"This year, the people of Georgia have a chance to guarantee their right to repair their stuff—like cell phones, laptops, and even tractors. These are your products. You own them, and you shouldn’t have to rely on the manufacturer’s permission to fix them when they break. Take action today: call or write your legislator and demand the right to repair. We’ll help by providing your legislators’ contact information.",,,,,,
